Work Order,Source,Table Index,Headers,Row Count,Data Preview
N/A,WO.STATUS.SUM,0,Job Costing - Summary,0,
N/A,WO.STATUS.SUM,1,", , , , , , , , ",8,"[['Work OrderSales OrderProject', '', 'Sales Order:', '', 'Item :', '', 'Status:', ''], ['Customer :', '']]"
N/A,WO.STATUS.SUM,2,", , , , ",10,"[[''], ['Category', 'JobCost', 'EstimatedCost', 'VarianceAmount', 'VariancePercentage']]"
N/A,WO.STATUS.SUM,3,", , , , ",6,"[[''], ['Customer Billing', '', '', '', '']]"
N/A,WO.STATUS.SUM,4,", , , , ",3,"[['WIP Receipt', ''], ['Var. Amount', '']]"
N/A,WO.STATUS.SUM,5,", , , , , , , ",3,"[['Associated Jobs'], ['']]"
N/A,WO.STATUS.SUM,6,", , , , , , ",0,
N/A,WO.COST.DETAIL,0,"KeyedInSign v2.1Error Occurred While Processing Request.MVI Version:3.0Error Code:2002Description:WO.COST.DETAIL is not defined in the VOC file., KeyedInSign v2.1, Error Occurred While Processing Request., MVI Version:, 3.0, Error Code:, 2002, Description:, WO.COST.DETAIL is not defined in the VOC file.",5,"[['KeyedInSign v2.1'], ['Error Occurred While Processing Request.']]"
N/A,WO.COST.DETAIL,1,KeyedInSign v2.1,4,"[['Error Occurred While Processing Request.'], ['MVI Version:', '3.0']]"
N/A,WO.HISTORY,0,Work Order Cost History,0,
